hg;Age_mat;Age_reg;Com_brd;Com_mix;Com_con;Nat_nat;Roa_den;Trf_lea;Trf_twn;Grn_win;Grn_plt;Pow_lin;Trs_roa;Waq_min;Wat_win
A10;0.2531;0.0125;0.0182;0.0221;0.3821;0.8332;0.4341;0.0339;109.7215;0.0375;0.0111;0.0000;0.0056;0.0000;0.1146
A11;0.2376;0.0209;0.0031;0.0143;0.3325;0.8041;0.5925;0.0104;116.7197;0.0334;0.0214;0.0000;0.0398;0.0000;0.1088
A12;0.3020;0.0044;0.0009;0.0072;0.3450;0.8028;0.5518;0.0232;115.1444;0.0757;0.0003;0.0000;0.0274;0.0000;0.2405
A13;0.1917;0.0372;0.0085;0.0526;0.3072;0.6131;0.8143;0.0344;139.4623;0.0269;0.0341;0.0000;0.0006;0.0000;0.0807
A14;0.2196;0.0005;0.0347;0.0798;0.4498;0.8690;1.0498;0.0644;65.9881;0.0666;0.0252;0.0000;0.0410;0.0000;0.2338
A16;0.2781;0.0001;0.0279;0.0494;0.3565;0.8257;0.7723;0.0255;88.0508;0.1312;0.0020;0.0000;0.0039;0.0000;0.4336
A17;0.2282;0.0009;0.0073;0.0212;0.2932;0.8469;0.4209;0.0139;122.8004;0.0880;0.0038;0.0000;0.0581;0.0000;0.2933
A18;0.2785;0.0000;0.0002;0.0019;0.3138;0.8889;1.1495;0.0037;133.8646;0.1412;0.0000;0.0000;0.0000;1.0000;0.3247
A19;0.2259;0.0660;0.0317;0.1055;0.4410;0.4244;1.2988;0.0673;68.4063;0.1042;0.0594;0.0000;0.0889;0.0000;0.4383
A20;0.4482;0.0816;0.0433;0.0665;0.4349;0.7477;0.6782;0.0421;95.2947;0.1189;0.0213;0.0000;0.0026;1.0000;0.1926
A21;0.3045;0.0332;0.0169;0.0483;0.3648;0.8079;0.9188;0.0363;110.1662;0.0544;0.0276;0.0000;0.0520;0.0000;0.0614
A22;0.2570;0.0904;0.0739;0.1395;0.4194;0.7552;1.0624;0.0705;81.8957;0.0636;0.0700;0.0000;0.0666;0.0000;0.1902
A23;0.2372;0.0924;0.0964;0.2338;0.2671;0.6146;1.4031;0.0953;90.4769;0.0408;0.1199;0.0000;0.0587;0.0000;0.0954
A25;0.2982;0.1324;0.1470;0.1945;0.2678;0.7836;1.3730;0.0741;92.8072;0.0095;0.1255;0.0000;0.0893;0.0000;0.0213
